tx_id,customer_id,account_id,tx_date,amount,currency,direction,category,description_raw,counterparty_key,is_recurring_flag,is_variable_amount
TX00000001,CUST00001,CUST00001_CHECKING,2024-01-02,2692.913658691598,EUR,CREDIT,SALARY,,MANUFACTURING PLUS,True,False
TX00000002,CUST00001,CUST00001_CHECKING,2024-01-02,2740.186666973003,EUR,CREDIT,SALARY,SALARY PAYMENT 2024-01,TECH SOLUTIONS INC,True,False
TX00000003,CUST00001,CUST00001_CHECKING,2024-01-21,-392.797576724562,EUR,DEBIT,LOAN_PAYMENT,LOAN_PAYMENT 2024-01,PERSONAL LOANS INC,True,False
TX00000004,CUST00001,CUST00001_CHECKING,2024-01-24,-869.7003346018394,EUR,DEBIT,RENT_MORTGAGE,,LANDLORD SERVICES,True,False
TX00000005,CUST00001,CUST00001_CHECKING,2024-01-22,-36.86326600082205,EUR,DEBIT,SUBSCRIPTION,SUBSCRIPTION 2024-01,FITNESS APP,True,False
TX00000006,CUST00001,CUST00001_CHECKING,2024-01-06,-432.9770563201687,EUR,DEBIT,LOAN_PAYMENT,LOAN_PAYMENT 2024-01,PERSONAL LOANS INC,True,False
TX00000007,CUST00001,CUST00001_CHECKING,2024-01-12,-1020.0854118241206,EUR,DEBIT,RENT_MORTGAGE,RENT_MORTGAGE 2024-01,HOME MORTGAGE BANK,True,False
TX00000008,CUST00001,CUST00001_CHECKING,2024-01-17,-24.43752583889521,EUR,DEBIT,SUBSCRIPTION,SUBSCRIPTION 2024-01,MUSIC UNLIMITED,True,False
TX00000009,CUST00001,CUST00001_CHECKING,2024-01-25,-276.4784860194255,EUR,DEBIT,UTILITIES,UTILITIES 2024-01,GAS SUPPLY INC,True,True
TX00000010,CUST00001,CUST00001_CHECKING,2024-01-09,-220.07688464694493,EUR,DEBIT,INSURANCE,INSURANCE 2024-01,AUTO INSURANCE INC,True,False
TX00000011,CUST00001,CUST00001_CHECKING,2024-01-18,-486.25281322982374,EUR,DEBIT,LOAN_PAYMENT,LOAN_PAYMENT 2024-01,PERSONAL LOANS INC,True,False
TX00000012,CUST00001,CUST00001_CHECKING,2024-01-20,-90.5111439413406,EUR,DEBIT,UTILITIES,UTILITIES 2024-01,ELECTRIC COMPANY,True,True
TX00000013,CUST00001,CUST00001_CHECKING,2024-01-17,-2.1160403108922696,EUR,DEBIT,TRANSPORT,TAXI SERVICE PURCHASE,TAXI SERVICE,False,True
TX00000014,CUST00001,CUST00001_CHECKING,2024-01-07,-11.98831118401457,EUR,DEBIT,SHOPPING,DEPARTMENT STORE PURCHASE,DEPARTMENT STORE,False,True
TX00000015,CUST00001,CUST00001_CHECKING,2024-01-24,-17.682321794567276,EUR,DEBIT,HEALTHCARE,PHYSIOTHERAPY PURCHASE,PHYSIOTHERAPY,False,True
TX00000016,CUST00001,CUST00001_CHECKING,2024-01-01,-13.91277256376757,EUR,DEBIT,RESTAURANT,CHINESE TAKEAWAY PURCHASE,CHINESE TAKEAWAY,False,True
TX00000017,CUST00001,CUST00001_CHECKING,2024-01-07,-17.225072249756767,EUR,DEBIT,HEALTHCARE,,PHYSIOTHERAPY,False,True
TX00000018,CUST00001,CUST00001_CHECKING,2024-01-13,-49.01390796351767,EUR,DEBIT,GROCERIES,CONVENIENCE STORE PURCHASE,CONVENIENCE STORE,False,True
TX00000019,CUST00001,CUST00001_CHECKING,2024-01-23,-31.04459361088185,EUR,DEBIT,TRANSPORT,FUEL STATION B PURCHASE,FUEL STATION B,False,True
TX00000020,CUST00001,CUST00001_CHECKING,2024-01-27,-44.271661224002834,EUR,DEBIT,GROCERIES,ONLINE GROCERY PURCHASE,ONLINE GROCERY,False,True
TX00000021,CUST00001,CUST00001_CHECKING,2024-01-12,-13.10212705787924,EUR,DEBIT,MISCELLANEOUS,FOREIGN EXCHANGE PURCHASE,FOREIGN EXCHANGE,False,True
TX00000022,CUST00001,CUST00001_CHECKING,2024-01-23,-18.45712902495944,EUR,DEBIT,SHOPPING,DEPARTMENT STORE PURCHASE,DEPARTMENT STORE,False,True
TX00000023,CUST00001,CUST00001_CHECKING,2024-01-13,-27.219834671954644,EUR,DEBIT,GROCERIES,WHOLESALE CLUB PURCHASE,,False,True
TX00000024,CUST00001,CUST00001_CHECKING,2024-01-05,-2.2914574163679013,EUR,DEBIT,TRANSPORT,BIKE SHARE PURCHASE,BIKE SHARE,False,True
TX00000025,CUST00001,CUST00001_CHECKING,2024-01-09,-26.008896709470577,EUR,DEBIT,GROCERIES,SPECIALTY FOODS PURCHASE,,False,True
TX00000026,CUST00001,CUST00001_CHECKING,2024-01-07,-10.570879366280247,EUR,DEBIT,RESTAURANT,SANDWICH SHOP PURCHASE,SANDWICH SHOP,False,True
TX00000027,CUST00001,CUST00001_CHECKING,2024-01-22,-15.822114439841751,EUR,DEBIT,RESTAURANT,,ITALIAN RESTAURANT,False,True
TX00000028,CUST00001,CUST00001_CHECKING,2024-01-02,-14.837733598699812,EUR,DEBIT,MISCELLANEOUS,CHECK DEPOSIT PURCHASE,CHECK DEPOSIT,False,True
TX00000029,CUST00001,CUST00001_CHECKING,2024-01-27,-12.349748916337246,EUR,DEBIT,SHOPPING,PET STORE PURCHASE,PET STORE,False,True
TX00000030,CUST00001,CUST00001_CHECKING,2024-01-06,-8.456433475704872,EUR,DEBIT,TRANSPORT,RIDE SHARE APP PURCHASE,RIDE SHARE APP,False,True
TX00000031,CUST00001,CUST00001_CHECKING,2024-01-20,-12.354862764307423,EUR,DEBIT,SUBSCRIPTION,MUSIC UNLIMITED PURCHASE,MUSIC UNLIMITED,False,True
TX00000032,CUST00001,CUST00001_CHECKING,2024-01-20,-27.69259848178686,EUR,DEBIT,UTILITIES,GAS SUPPLY INC PURCHASE,GAS SUPPLY INC,False,True
TX00000033,CUST00001,CUST00001_CHECKING,2024-01-11,-31.012295385016106,EUR,DEBIT,MISCELLANEOUS,ATM WITHDRAWAL PURCHASE,ATM WITHDRAWAL,False,True
TX00000034,CUST00001,CUST00001_CHECKING,2024-01-03,-21.22450394838001,EUR,DEBIT,SHOPPING,DEPARTMENT STORE PURCHASE,DEPARTMENT STORE,False,True
TX00000035,CUST00001,CUST00001_CHECKING,2024-01-16,-5.2620641794761,EUR,DEBIT,SHOPPING,ELECTRONICS STORE PURCHASE,ELECTRONICS STORE,False,True
TX00000036,CUST00001,CUST00001_CHECKING,2024-01-09,-21.571804076707558,EUR,DEBIT,ENTERTAINMENT,CINEMA CHAIN PURCHASE,CINEMA CHAIN,False,True
TX00000037,CUST00001,CUST00001_CHECKING,2024-01-11,-23.342966313848926,EUR,DEBIT,ENTERTAINMENT,MUSEUM ENTRY PURCHASE,MUSEUM ENTRY,False,True
TX00000038,CUST00001,CUST00001_CHECKING,2024-01-03,-25.597987795242123,EUR,DEBIT,MISCELLANEOUS,CHECK DEPOSIT PURCHASE,CHECK DEPOSIT,False,True
TX00000039,CUST00001,CUST00001_CHECKING,2024-01-22,-10.106273630902026,EUR,DEBIT,SHOPPING,CLOTHING RETAILER A PURCHASE,CLOTHING RETAILER A,False,True
