TransactionID,TransactionDate,PostingDate,MonthKey,AccountID,Amount,CurrencyCode,CategoryCode,DescriptionRaw,CounterpartyType,IsRecurringFlag
T000002,2024-01-01,2024-01-02,2024-01,MAIN_CHECKING,-1200.0,EUR,RENT_MORTGAGE,RENT_MORTGAGE 2024-01,BANK,True
T000007,2024-01-01,2024-01-01,2024-01,MAIN_CHECKING,-101.97,EUR,GROCERIES,GROCERIES PURCHASE 4582,MERCHANT,False
T000006,2024-01-04,2024-01-04,2024-01,MAIN_CHECKING,-117.82,EUR,GROCERIES,GROCERIES PURCHASE 7912,MERCHANT,False
T000003,2024-01-05,2024-01-06,2024-01,MAIN_CHECKING,-180.0,EUR,UTILITIES,UTILITIES 2024-01,UTILITY_PROVIDER,True
T000014,2024-01-08,2024-01-09,2024-01,MAIN_CHECKING,-44.56,EUR,ENTERTAINMENT,ENTERTAINMENT PURCHASE 1711,MERCHANT,False
T000013,2024-01-14,2024-01-14,2024-01,MAIN_CHECKING,-38.27,EUR,ENTERTAINMENT,ENTERTAINMENT PURCHASE 6881,MERCHANT,False
T000016,2024-01-15,2024-01-16,2024-01,MAIN_CHECKING,-50.52,EUR,TRANSPORT,TRANSPORT PURCHASE 4150,MERCHANT,False
T000012,2024-01-18,2024-01-19,2024-01,MAIN_CHECKING,-45.48,EUR,ENTERTAINMENT,ENTERTAINMENT PURCHASE 2674,MERCHANT,False
T000017,2024-01-18,2024-01-18,2024-01,MAIN_CHECKING,-52.05,EUR,TRANSPORT,TRANSPORT PURCHASE 4733,MERCHANT,False
T000005,2024-01-21,2024-01-21,2024-01,MAIN_CHECKING,-107.44,EUR,GROCERIES,GROCERIES PURCHASE 3286,MERCHANT,False
T000010,2024-01-21,2024-01-21,2024-01,MAIN_CHECKING,-43.82,EUR,ENTERTAINMENT,ENTERTAINMENT PURCHASE 7924,MERCHANT,False
T000009,2024-01-23,2024-01-24,2024-01,MAIN_CHECKING,-41.24,EUR,ENTERTAINMENT,ENTERTAINMENT PURCHASE 1106,MERCHANT,False
T000008,2024-01-24,2024-01-24,2024-01,MAIN_CHECKING,-106.48,EUR,GROCERIES,GROCERIES PURCHASE 4257,MERCHANT,False
T000015,2024-01-24,2024-01-25,2024-01,MAIN_CHECKING,-46.25,EUR,TRANSPORT,TRANSPORT PURCHASE 2291,MERCHANT,False
T000001,2024-01-25,2024-01-26,2024-01,MAIN_CHECKING,3000.0,EUR,SALARY,SALARY 2024-01,EMPLOYER,True
T000004,2024-01-26,2024-01-27,2024-01,MAIN_CHECKING,-500.0,EUR,SAVINGS_CONTRIBUTION,SAVINGS_CONTRIBUTION 2024-01,BANK,True
T000011,2024-01-31,2024-01-31,2024-01,MAIN_CHECKING,-40.34,EUR,ENTERTAINMENT,ENTERTAINMENT PURCHASE 4527,MERCHANT,False
T000019,2024-02-01,2024-02-02,2024-02,MAIN_CHECKING,-1200.0,EUR,RENT_MORTGAGE,RENT_MORTGAGE 2024-02,BANK,True
T000024,2024-02-03,2024-02-03,2024-02,MAIN_CHECKING,-109.91,EUR,GROCERIES,GROCERIES PURCHASE 5374,MERCHANT,False
T000020,2024-02-05,2024-02-06,2024-02,MAIN_CHECKING,-180.9,EUR,UTILITIES,UTILITIES 2024-02,UTILITY_PROVIDER,True
T000033,2024-02-05,2024-02-06,2024-02,MAIN_CHECKING,-54.03,EUR,TRANSPORT,TRANSPORT PURCHASE 6930,MERCHANT,False
T000029,2024-02-06,2024-02-06,2024-02,MAIN_CHECKING,-39.77,EUR,ENTERTAINMENT,ENTERTAINMENT PURCHASE 6155,MERCHANT,False
T000034,2024-02-08,2024-02-08,2024-02,MAIN_CHECKING,-47.24,EUR,TRANSPORT,TRANSPORT PURCHASE 9348,MERCHANT,False
T000028,2024-02-08,2024-02-09,2024-02,MAIN_CHECKING,-44.39,EUR,ENTERTAINMENT,ENTERTAINMENT PURCHASE 7572,MERCHANT,False
T000032,2024-02-09,2024-02-10,2024-02,MAIN_CHECKING,-52.5,EUR,TRANSPORT,TRANSPORT PURCHASE 8019,MERCHANT,False
T000023,2024-02-10,2024-02-11,2024-02,MAIN_CHECKING,-107.83,EUR,GROCERIES,GROCERIES PURCHASE 3664,MERCHANT,False
T000031,2024-02-13,2024-02-14,2024-02,MAIN_CHECKING,-44.92,EUR,ENTERTAINMENT,ENTERTAINMENT PURCHASE 3340,MERCHANT,False
T000030,2024-02-15,2024-02-16,2024-02,MAIN_CHECKING,-39.31,EUR,ENTERTAINMENT,ENTERTAINMENT PURCHASE 7482,MERCHANT,False
T000026,2024-02-18,2024-02-18,2024-02,MAIN_CHECKING,-39.79,EUR,ENTERTAINMENT,ENTERTAINMENT PURCHASE 6313,MERCHANT,False
